sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
People are playing cricket.,Men are playing cricket.,3.200000047683716,10,0.6400000095367432,1.0000001192092896,1.0,0.8366307488745494,0.9818944334983826,0.6627656350390791,0.5248807614724704,0.9818944334983826,0.9399834313896976,0.012608687944955729,0.9903036952018738,0.8692543238134391,0.07495062104833729,0.9958293437957764,0.9155069096193797,0.46676689663685983,0.9950148463249207,0.9162901858302016,0.13954392167704216,glove-twitter-25
A man is playing a guitar.,A man is playing a flute.,1.5829999446868896,11,0.31659998893737795,0.9999999403953552,1.0,0.7456894045099264,0.9973616600036621,0.8433054401114953,0.6649370770855871,0.9973614811897278,0.9609589729014009,0.04112944339538961,0.9927054047584534,0.8653242003018229,0.16958886111925286,0.985556423664093,0.8209720606073141,0.6176150188831326,0.9873195886611938,0.8439152830283934,0.23099265943318537,glove-twitter-25
The cougar is chasing the bear.,A cougar is chasing a bear.,5.0,12,1.0,1.0,1.0,0.4504840191495961,0.9521140456199646,0.49550822216455925,0.475610833298366,0.9521140456199646,0.8743039927913469,0.030778464991293015,0.964733362197876,0.722724689833173,0.13738072477440183,0.979844868183136,0.804659144634125,0.48258467455717974,0.9751453995704651,0.7762483255854189,0.20920247008039666,glove-twitter-25
The man cut down a tree with an axe.,A man chops down a tree with an axe.,5.0,13,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9896901249885559,0.7398581670862181,0.5323093384610613,0.9896901249885559,0.9074067170875554,0.07863597174661259,0.9979403614997864,0.9195645610603348,0.2374393429166562,0.999799370765686,0.9718927164106771,0.4946051304270474,0.9993776082992554,0.9195837579941532,0.286747751056168,glove-twitter-25
The man is playing the guitar.,A man is playing a guitar.,4.908999919891357,14,0.9817999839782715,0.9999999403953552,1.0,0.7456894045099264,0.9638063907623291,0.49550822216455925,0.7299724731253416,0.9638063907623291,0.8743039927913469,0.044685104560403255,0.9716452360153198,0.7336882368063764,0.17016309488485404,0.9830955862998962,0.8191686105810626,0.5155445004729102,0.9804022908210754,0.8012516952504631,0.1950746936420069,glove-twitter-25
A man is finding something.,A woman is slicing something.,0.800000011920929,15,0.1600000023841858,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9851507544517517,0.6152784166954088,0.5950100584227735,0.9851508140563965,0.9178387295233325,0.02498805914048983,0.9846876263618469,0.8209207117777859,0.12891702047410036,0.9812140464782715,0.7571500763596425,0.5501422967045135,0.9818843007087708,0.7964816433964192,0.20561488815258572,glove-twitter-25
The girl sang into a microphone.,The lady sang into the microphone.,2.4000000953674316,16,0.48000001907348633,0.9245244860649109,0.701856188540636,0.5865359179813375,0.9895123839378357,0.766489124490941,0.5190137029286794,0.9895122647285461,0.9418198994087152,0.03315140728268852,0.9842498302459717,0.8102054892586019,0.1455149119023837,0.9836403727531433,0.8033949955437221,0.6678235169887681,0.9833250641822815,0.810069560232607,0.22736779405150598,glove-twitter-25
A man is climbing a rope.,A man climbs a rope.,5.0,17,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9852648377418518,0.6952059054885356,0.4549830089279144,0.9852647185325623,0.8913550322982348,0.024111422531976543,0.9883385896682739,0.8149876844261648,0.13331848965961252,0.9918559789657593,0.8582435274514336,0.7177379211186705,0.9906399250030518,0.8616497080150513,0.25402251625882794,glove-twitter-25
Kittens are eating food.,Kittens are eating from dishes.,4.0,18,0.8,1.0000001192092896,1.0,0.8366307488745494,0.9863308072090149,0.7303467248636106,0.48100134821785306,0.9863308668136597,0.933903521921063,0.015486467571539857,0.9817532300949097,0.8168862552397524,0.08277640779301286,0.9820120334625244,0.8193414886423271,0.45615839441632927,0.9803282618522644,0.8179236339540765,0.1427869927018744,glove-twitter-25
A man is speaking.,A man is spitting.,0.6359999775886536,19,0.12719999551773073,0.9999999403953552,1.0,0.7456894045099264,0.9867751002311707,0.6892306933030137,0.6206419329199284,0.9867751002311707,0.9446933331329391,0.015279874120431886,0.9765384793281555,0.7999552267127723,0.09298767721838479,0.9661469459533691,0.7299735393005731,0.5336197219662178,0.9673989415168762,0.7671310465849127,0.16957493325819661,glove-twitter-25
A woman is cooking eggs.,A woman is cooking something.,3.0,20,0.6000000000000001,1.000000238418579,1.0,0.6704884746562783,0.9863747954368591,0.6980189203151962,0.5889268106833343,0.9863748550415039,0.9355088362460857,0.024743706840071395,0.974439263343811,0.7707073018313146,0.1260745577773249,0.9654282331466675,0.7359678952060513,0.5581647083598329,0.9662585258483887,0.7490345083397654,0.21133346262193753,glove-twitter-25
A man is playing a guitar.,A man is playing a trumpet.,1.7139999866485596,21,0.34279999732971195,0.9999999403953552,1.0,0.7456894045099264,0.9978465437889099,0.8492045066749011,0.6619422029891882,0.9978464841842651,0.9624287399708565,0.040965700484312806,0.9939951300621033,0.8773778809793156,0.16950010709625646,0.9877875447273254,0.8325114255239195,0.622895397550306,0.9894532561302185,0.8575218204372317,0.23171654789995422,glove-twitter-25
An animal is chewing on something.,An animal is chewing on a key chain.,3.200000047683716,22,0.6400000095367432,1.0,1.0,0.5596070349069774,0.9822388291358948,0.685660367563393,0.49412465572402703,0.9822388291358948,0.878740000520102,0.04348059401045434,0.9643664956092834,0.6835410043478936,0.16209324251558083,0.955579936504364,0.7124456239157893,0.4944940282584372,0.9530134201049805,0.6862165276346541,0.20508982512439117,glove-twitter-25
A man is playing a flute.,A man is playing guitar.,2.1670000553131104,23,0.4334000110626221,0.9999999403953552,1.0,0.7456894045099264,0.9916019439697266,0.7738238024378232,0.6311738586822007,0.9916017651557922,0.925994745733903,0.03236814185976887,0.9832410216331482,0.7872989410090471,0.14353456990233115,0.9755042195320129,0.763342164854826,0.5697971538238571,0.9769639372825623,0.7862302936863063,0.20973832025808992,glove-twitter-25
A man is playing soccer.,A man is playing flute.,1.0,24,0.2,0.9999999403953552,1.0,0.7456894045099264,0.9900176525115967,0.7275208617518445,0.6044728206699981,0.9900176525115967,0.9418092637679452,0.025368158195383756,0.9779654145240784,0.7894997160534047,0.12116850847538603,0.9636191725730896,0.733537503306378,0.5035094004174197,0.9666408896446228,0.7596885653542105,0.18788588374753823,glove-twitter-25
A girl is riding a horse.,A girl is riding a bicycle.,1.9170000553131104,25,0.3834000110626221,1.000000238418579,1.0,0.7617844178114808,0.9955963492393494,0.8280269409439861,0.6198689273184694,0.9955963492393494,0.9571522694244993,0.03866544506348829,0.9884511232376099,0.8326310355483549,0.167070803109036,0.97934889793396,0.7784266261060114,0.6357768347137394,0.9815331101417542,0.8037896972646942,0.25331660637455694,glove-twitter-25
A man is lifting weights in a garage.,A man is lifting weights.,4.25,26,0.8500000000000001,0.9999999403953552,1.0,0.7456894045099264,0.9866800904273987,0.7324963167525924,0.502952153165332,0.9866800308227539,0.8013762630395057,0.036497513890743294,0.963351845741272,0.6164026460277636,0.1584895433907979,0.9343060255050659,0.6315621548864063,0.5989677664530753,0.9401930570602417,0.6274408277717495,0.2477608707056977,glove-twitter-25
An animal is biting a persons finger.,A slow loris is biting a persons finger.,3.0,27,0.6000000000000001,0.4638691842556,0.43258195993680904,0.366368859187193,0.981879711151123,0.7082894965182449,0.33429941929940105,0.9818795323371887,0.9172436342136537,0.03815591772746525,0.9936191439628601,0.863488097052163,0.17636609608705822,0.9981340169906616,0.9242548343267283,0.7649459345138643,0.9966703653335571,0.8719801861779454,0.3318722836867058,glove-twitter-25
A woman is reading.,A woman is kneading dough.,1.0,28,0.2,1.000000238418579,1.0,0.6704884746562783,0.9377328157424927,0.34191643631630286,0.42659342991608457,0.9377328157424927,0.8919610722446386,0.01366526805191889,0.8999542593955994,0.571745396980424,0.08915748862346885,0.8721446394920349,0.4159711329468121,0.5840847958860731,0.8721238374710083,0.48378436711080464,0.1835856425987481,glove-twitter-25
A man is crying.,A woman is dancing.,0.6000000238418579,29,0.12000000476837158,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9787203073501587,0.6191298637812659,0.6729033904912025,0.9787202477455139,0.932217701789932,0.01673766914252729,0.9804580807685852,0.8120483596845576,0.09723472393025424,0.9819838404655457,0.821749989205515,0.49282223108403883,0.9805822372436523,0.8248864827623072,0.1680659112518222,glove-twitter-25
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,2.5999999046325684,30,0.5199999809265137,0.7535543441772461,0.5451392926128893,0.5125936183066324,0.9906668066978455,0.7476528440243364,0.5519367176824519,0.9906668066978455,0.9191629749477945,0.06373542112104082,0.9960797429084778,0.874247632553182,0.21621128589011646,0.999033510684967,0.952974306192793,0.6210600332943426,0.9982835650444031,0.9377363974501479,0.2878270849408446,glove-twitter-25
A band is performing on a stage.,A band is playing onstage.,5.0,31,1.0,1.0000001192092896,1.0,0.5800604848908243,0.9846795797348022,0.6652431186364636,0.5653146024095212,0.9846795797348022,0.8248840078624391,0.034768385492827264,0.9703887104988098,0.6694276974960898,0.14686548139400118,0.9584831595420837,0.719549271895358,0.5271503806580564,0.9603673815727234,0.7212243298342145,0.2191088753482982,glove-twitter-25
Elephants are walking down a trail.,A herd of elephants are walking along a trail.,4.599999904632568,32,0.9199999809265137,0.5168590545654297,0.3569104861792365,0.40201499406668295,0.9903497099876404,0.7880703585982417,0.4381204797150073,0.9903498291969299,0.826833685819439,0.04495141952676622,0.9956443309783936,0.7612538141797969,0.17382728646538226,0.9985063076019287,0.9468808307604966,0.5663149843301163,0.9972122311592102,0.8430933074859828,0.2577613540643091,glove-twitter-25
A man is playing a guitar.,A man plays the guitar.,5.0,33,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9910883903503418,0.7483376228953662,0.658052317785347,0.991088330745697,0.9002364103331807,0.03362772735007201,0.9897738099098206,0.8069814793720664,0.14618753720295952,0.9910271167755127,0.8685508999576808,0.5414108523097572,0.990441620349884,0.858691443867224,0.20563159939238285,glove-twitter-25
A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,4.800000190734863,34,0.9600000381469727,0.9999999403953552,1.0,0.7456894045099264,0.9960111975669861,0.843196718009745,0.6612351791816189,0.9960111975669861,0.736738684642288,0.13387922016319023,0.991736114025116,0.6581807535460347,0.3400071119122578,0.9908137917518616,0.8118509929293403,0.6827139911880731,0.9898940920829773,0.7551877035150756,0.36953650035397173,glove-twitter-25
A puppy plays with a plastic container.,The dog is playing with a plastic container.,3.799999952316284,35,0.7599999904632568,0.9024084806442261,0.7377812036781104,0.5544278868296257,0.9840278029441833,0.6584200498530824,0.4892752219207939,0.9840277433395386,0.8572591826429111,0.05060597548650149,0.9952245950698853,0.8304643024923681,0.1897595385984776,0.999397337436676,0.9651478924569349,0.6181550988694324,0.9987720847129822,0.9481372266511909,0.2640850109905138,glove-twitter-25
A man plays the violin.,A man is playing violin.,5.0,36,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9914690852165222,0.7827677715005417,0.5446721069719951,0.9914690256118774,0.9536078108145816,0.022966101529595388,0.9920351505279541,0.8755240095979857,0.11863152474148188,0.9941472411155701,0.8932716841247051,0.5919559246320647,0.9933706521987915,0.8924105108450526,0.20208189038016156,glove-twitter-25
A man plays the piano.,A man is playing a piano.,5.0,37,1.0,0.9999999403953552,1.0,0.7456894045099264,0.9918583631515503,0.7558602721214698,0.6309490036749124,0.9918583631515503,0.9002364103331807,0.032357608356737386,0.9899411201477051,0.8083223249352103,0.1419103077723573,0.9902397394180298,0.8674699245087542,0.5159823737256684,0.98991858959198,0.8588597594744108,0.20095318907633114,glove-twitter-25
A man is eating food.,A man is eating something.,4.199999809265137,38,0.8399999618530274,0.9999999403953552,1.0,0.7456894045099264,0.9920299649238586,0.7688726333003069,0.7288375558640787,0.9920298457145691,0.9506403650710578,0.030363603476510615,0.9855547547340393,0.8229734677223552,0.1410105420329646,0.9818229675292969,0.8205015178194874,0.4985367917009826,0.9816792607307434,0.821500256784283,0.19773658488278256,glove-twitter-25
A man is playing a basketball.,A man is playing a piano.,1.399999976158142,39,0.27999999523162844,0.9999999403953552,1.0,0.7456894045099264,0.9889506101608276,0.7224382147238395,0.72023673781146,0.9889504313468933,0.9308444496070115,0.04415283289162995,0.972057044506073,0.7337716070442939,0.1707792129282127,0.9542173147201538,0.7063687824220066,0.5238910206331733,0.9565562605857849,0.71533476843863,0.21238998433800205,glove-twitter-25
A toddler walks down a hallway.,A little girl is walking down a hallway.,3.5999999046325684,40,0.7199999809265137,0.6222519874572754,0.4742773756203231,0.4357299468455025,0.98152756690979,0.6081667172640237,0.5417432906853776,0.9815276265144348,0.7961511043614309,0.04682787583283858,0.9929174184799194,0.7541849660961032,0.18217216516494944,0.9979226589202881,0.9311446638174065,0.6378078380280454,0.996780276298523,0.9178547090961222,0.2588559844806518,glove-twitter-25
A plane is landing.,A animated airplane is landing.,2.799999952316284,41,0.5599999904632569,0.31586745381355286,0.34667229694839197,0.32103439406433665,0.9729671478271484,0.615348257542486,0.35375553471706583,0.9729671478271484,0.9330513296170102,0.011227157004715903,0.9835692048072815,0.8331008562092518,0.0840547356380054,0.9904448986053467,0.8551925131387327,0.6223234876398838,0.9876249432563782,0.8344705214421343,0.2126512632459417,glove-twitter-25
A panda is climbing.,A man is climbing a rope.,1.600000023841858,42,0.3200000047683716,0.5788233280181885,0.4357007205878701,0.3945524618881988,0.9868636727333069,0.706774961505062,0.4547589140795418,0.9868638515472412,0.8478506760485419,0.018563414814577454,0.9861910939216614,0.728236606452767,0.1072260612041868,0.9853876829147339,0.8246634267488668,0.6286077796933556,0.9852304458618164,0.8144816061313247,0.2127029000927223,glove-twitter-25
Kids are dancing on stage.,Some people are dancing on stage.,3.0,43,0.6000000000000001,0.9180850386619568,0.6886734733662842,0.8107815566748144,0.992764949798584,0.7604310929541307,0.6245718784986314,0.9927650690078735,0.8988454526820404,0.03205875650958562,0.9976665377616882,0.8438984356074664,0.13062125648848077,0.9997270703315735,0.9732356886748376,0.41654956360931966,0.9995224475860596,0.9485460769483011,0.14851950794093355,glove-twitter-25
A man plays a guitar.,A man plays the piano.,1.399999976158142,44,0.27999999523162844,0.9999999403953552,1.0,0.7456894045099264,0.9887739419937134,0.7480162421422536,0.5831794011528875,0.9887740612030029,0.946186265629139,0.024512849148535337,0.9871702790260315,0.8420755919012083,0.11880598434875993,0.9880968332290649,0.8521716598870044,0.5215274974841653,0.9876105189323425,0.8548121978138514,0.18912888167911707,glove-twitter-25
A woman is slicing a meat.,A woman is singing on stage.,0.25,45,0.05,1.000000238418579,1.0,0.6704884746562783,0.9486297369003296,0.4326195127079523,0.5240130400701049,0.9486297965049744,0.8586350303918533,0.03342473282321545,0.9182757139205933,0.5592070215946434,0.14559237717576462,0.9033520221710205,0.5153025582264195,0.5482855713017531,0.9019972085952759,0.5355483616147301,0.22410812967922084,glove-twitter-25
A woman is taking a picture.,A man is playing a guitar.,0.25,46,0.05,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9779420495033264,0.6193392561033912,0.7077157802301517,0.977942168712616,0.905156954618926,0.043468266473538866,0.9739642143249512,0.743951673017736,0.17193060187984993,0.9713144302368164,0.7676041117493464,0.548807618365261,0.970342218875885,0.7631745281487017,0.22248943831960966,glove-twitter-25
The man is riding a horse.,A woman is using a hoe.,0.0,47,0.0,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9711182713508606,0.5732190345260333,0.6658894041752792,0.9711183905601501,0.893665938886434,0.04118151108983843,0.9616594910621643,0.6888021919330587,0.16802653627795683,0.950706422328949,0.6770609997858035,0.585851417188038,0.951185941696167,0.685434176191858,0.22969478261535914,glove-twitter-25
A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,4.0,48,0.8,0.8737497925758362,0.6113207188101307,0.7505187473769339,0.9810225367546082,0.6693672445298643,0.5923435729779924,0.9810224771499634,0.8657650626134572,0.09478026825318792,0.9734021425247192,0.6829168096246971,0.2833616905612264,0.9624704122543335,0.7291521908692324,0.5736554731433501,0.9642084240913391,0.6961859223585107,0.34314653487874475,glove-twitter-25
A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,4.5,49,0.9,0.9999999403953552,1.0,0.7456894045099264,0.982296347618103,0.6581116041978126,0.4639045380271018,0.9822964072227478,0.8482637418411472,0.06299079120846723,0.9740368127822876,0.684911134265312,0.23150822434232143,0.9647866487503052,0.7084671456394332,0.7321048354253741,0.9670132398605347,0.717336521909816,0.31887477062570774,glove-twitter-25
Two little girls are talking on the phone.,A little girl is walking down the street.,0.5,50,0.1,1.0,1.0,0.7052754233519765,0.9770263433456421,0.5983292715100477,0.759312326797791,0.9770262837409973,0.8713285965819015,0.08247747326340751,0.9735671281814575,0.7108579309313818,0.23381954422491108,0.9657802581787109,0.7551188838659761,0.4302694711694108,0.9635562300682068,0.7437275852611474,0.17194350834648325,glove-twitter-25
Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,3.799999952316284,51,0.7599999904632568,1.0,1.0,0.9240619310382933,0.9931634664535522,0.7949485751729288,0.4583122009154746,0.9931634068489075,0.7931582684202871,0.06083914476084176,0.991682767868042,0.7310087098024576,0.22822292829037744,0.9885602593421936,0.8281024831427638,0.7359414910322515,0.9901108145713806,0.8250796457574361,0.33866680263583704,glove-twitter-25
The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,4.800000190734863,52,0.9600000381469727,0.8363072872161865,0.6478575281113748,0.521280342574473,0.9910562038421631,0.7687920059706328,0.5529065284272068,0.9910562038421631,0.9259347078198521,0.0638230763681175,0.9969314932823181,0.8906339720906535,0.21451797344779716,0.999465823173523,0.9626156786296168,0.6218505167521615,0.9989780783653259,0.9489770803382751,0.2825218705035123,glove-twitter-25
A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,5.0,53,1.0,1.000000238418579,1.0,0.6704884746562783,0.9819931983947754,0.6949325538822786,0.5085145400156774,0.9819931387901306,0.881684670171785,0.06747050195917965,0.9804190397262573,0.7469280969999492,0.22662056093638067,0.9886964559555054,0.8535144998658097,0.5726291698864712,0.9838820695877075,0.8016129343598829,0.30999880339270586,glove-twitter-25
A man is talking on a phone.,A man is singing to a woman.,0.25,54,0.05,0.9999999403953552,1.0,0.7456894045099264,0.9841476082801819,0.6617665506530184,0.8077960986211934,0.9841476082801819,0.9036890013557259,0.06671465187099872,0.9711494445800781,0.7026392124957936,0.22472868716819505,0.9616652727127075,0.7308062264766402,0.5409217849204826,0.9620362520217896,0.7240522379988434,0.2411283358375632,glove-twitter-25
A man is playing an electronic keyboard.,A man is playing a flute.,1.2000000476837158,55,0.24000000953674316,0.9999999403953552,1.0,0.7456894045099264,0.9692985415458679,0.5767782265321081,0.5394875191027935,0.9692983627319336,0.8870830272625401,0.0404700477340916,0.9392207860946655,0.6126860234931628,0.1580872288668792,0.9216512441635132,0.5999464085569243,0.5611136358547757,0.9226009845733643,0.6068124424797938,0.22279416055640472,glove-twitter-25
A man is playing a guitar.,A man is eating a banana.,0.6000000238418579,56,0.12000000476837158,0.9999999403953552,1.0,0.7456894045099264,0.9749274849891663,0.599847452658193,0.6755221379560725,0.9749274253845215,0.9003005022741608,0.0417081591002038,0.9606336355209351,0.6865517451276674,0.16700408675758144,0.9555186033248901,0.7069389852168168,0.5532045653551245,0.9535850286483765,0.6983776176453768,0.22502659946017095,glove-twitter-25
A man is jumping into water.,A man is cutting paper.,0.800000011920929,57,0.1600000023841858,0.9999999403953552,1.0,0.7456894045099264,0.9773012399673462,0.6325848397007148,0.6036878045576697,0.9773012399673462,0.8892378043746114,0.031080077099352548,0.9652685523033142,0.7085571253419829,0.13628647817138073,0.9619773030281067,0.7426655556511034,0.47322595070718704,0.9602895379066467,0.7348589717343779,0.19507955670120714,glove-twitter-25
A man is playing a guitar.,A guy is playing an instrument.,3.799999952316284,58,0.7599999904632568,0.8295313715934753,0.6009970077814393,0.6427198950861892,0.9783349633216858,0.6150156345399059,0.6229788894747181,0.9783350229263306,0.9040797205608677,0.03883547930670293,0.9618967771530151,0.6952301506352833,0.15427383843946424,0.9499702453613281,0.6955414604375776,0.5100782858799189,0.9508888125419617,0.6985184873667019,0.20827309525760362,glove-twitter-25
A young man is playing the piano.,A woman is peeling a prawn.,0.0,59,0.0,0.8632799386978149,0.6713698433663051,0.5884088517748041,0.9561688899993896,0.43469932885941,0.48979745109593636,0.9561690092086792,0.811963935277559,0.03736525089697877,0.9332351088523865,0.5805595238765904,0.1586631773792574,0.9101747870445251,0.50379681646751,0.610107271685346,0.9144455194473267,0.5659840288893574,0.2254265197649462,glove-twitter-25
A woman is mixing ingrediants.,A woman is mixing food in a bowl.,3.5,60,0.7000000000000001,1.000000238418579,1.0,0.6704884746562783,0.9879204630851746,0.7260856735804619,0.5689822931622794,0.9879204034805298,0.7332482663349352,0.032209251796777694,0.9773075580596924,0.5832911959242499,0.14923673802736215,0.9625935554504395,0.7243916718099213,0.6109441687397468,0.9667971730232239,0.7026359210796187,0.23833004315449263,glove-twitter-25
Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,4.5,61,0.9,1.0,1.0,0.9240619310382933,0.9862712621688843,0.7493383133170652,0.3999050105418838,0.9862711429595947,0.8844772149349166,0.03685756373489424,0.9701841473579407,0.6952280895663607,0.16278501582183358,0.9587039947509766,0.6972305403253536,0.6581300343170151,0.960346519947052,0.6850621479274812,0.27065812811714723,glove-twitter-25
A slow lori walks around.,A animal is walking around.,2.799999952316284,62,0.5599999904632569,0.4638691842556,0.43258195993680904,0.366368859187193,0.9553453326225281,0.4522881971051945,0.4513258843840858,0.9553454518318176,0.883030483513904,0.019216592425000654,0.9721587300300598,0.7591226860894473,0.10202261447742762,0.984478771686554,0.8354114984668203,0.47976336932454594,0.9802150130271912,0.8169002209369862,0.189229620687277,glove-twitter-25
A little boy is vacuuming the floor.,A boy is vacuuming.,3.799999952316284,63,0.7599999904632568,0.8920416831970215,0.6993433910216733,0.6045292205928674,0.9880229234695435,0.7251481394250757,0.5005889711279481,0.9880229234695435,0.7940014813018885,0.024564211171562305,0.9854525923728943,0.6961478072219031,0.13686326817986244,0.9768417477607727,0.7396301585694725,0.7522754462391976,0.9807699918746948,0.7941791347466544,0.25503317785297996,glove-twitter-25
A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,3.799999952316284,64,0.7599999904632568,1.000000238418579,1.0,0.6704884746562783,0.9835922718048096,0.7283045854400976,0.4104327554301192,0.9835923314094543,0.7145745036709215,0.08431930824387576,0.97376948595047,0.6287770977319036,0.272336027557759,0.9591437578201294,0.5983776403098604,0.7325109997803372,0.9688543081283569,0.6958265393190336,0.4074436047234747,glove-twitter-25
A man is making a bed.,A woman is playing a guitar.,0.0,65,0.0,0.765417754650116,0.5409147246720292,0.5904030126894899,0.9783462285995483,0.6051758882483942,0.7149202623703701,0.9783461689949036,0.9016281033946938,0.04386216683297159,0.9697690606117249,0.7206879930506251,0.17219046540299515,0.9629182815551758,0.7347610899273123,0.5479515386379576,0.9622565507888794,0.7328256052009428,0.2200801903725575,glove-twitter-25
